fips,county,state,metro_area,zhvi_latest,zhvi_1yr_ago,zhvi_5yr_ago,zhvi_1yr_chg_pct,zhvi_5yr_chg_pct
37127,Nash County,NC,"Rocky Mount, NC",232032.54768496615,234010.54317012892,167486.19946971055,-0.8452591316472136,38.538308481307816
54011,Cabell County,WV,"Huntington-Ashland, WV-KY-OH",163432.6472202513,155436.866546465,121671.4416130464,5.144069647978977,34.32293153887231
26055,Grand Traverse County,MI,"Traverse City, MI",401746.0479458187,392640.6995053205,274645.8303124805,2.319002704500517,46.277861742422544
36101,Steuben County,NY,"Corning, NY",162275.83678400997,162095.620297432,129373.65796693663,0.11117912146378917,25.43189961087904
01077,Lauderdale County,AL,"Florence-Muscle Shoals, AL",218203.93129764727,219351.9714541517,165826.20947596838,-0.5233780890564699,31.585912737919443
19155,Pottawattamie County,IA,"Omaha-Council Bluffs, NE-IA",230938.23446321805,227058.2656567092,168399.52009333367,1.7087987505264302,37.13710961600303
51800,Suffolk City,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",377285.09091455134,371020.80468213296,283502.0987501931,1.6883921746073671,33.080175624024164
39157,Tuscarawas County,OH,"New Philadelphia-Dover, OH",205544.10824215072,192127.97600930565,151637.27431690227,6.982914467487689,35.549856833083226
13247,Rockdale County,GA,"Atlanta-Sandy Springs-Alpharetta, GA",299514.03707995155,309340.1660787173,221212.6551287064,-3.1764801588246683,35.39642969598087
48037,Bowie County,TX,"Texarkana, TX-AR",186205.9820191765,190127.65021716055,166260.3647711712,-2.062650116121878,11.99661583532372
21037,Campbell County,KY,"Cincinnati, OH-KY-IN",287139.4816823311,277849.87821918906,235618.50981380497,3.3433894312574486,21.866266750112317
55109,Saint Croix County,WI,"Minneapolis-St. Paul-Bloomington, MN-WI",404336.1162931449,398599.0254760103,319426.5042481331,1.4393138092305469,26.581893147806323
24009,Calvert County,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",472255.16926919646,465055.8473754193,393376.3260518911,1.54805534311786,20.05175146378797
21151,Madison County,KY,"Richmond-Berea, KY",277719.54726846813,271898.0492504167,206764.0113661964,2.1410591337821083,34.31715966111892
42097,Northumberland County,PA,"Sunbury, PA",162842.6359212833,152393.6866383167,136465.8141391823,6.856549974911763,19.328519709118595
06045,Mendocino County,CA,"Ukiah, CA",496618.8091822372,506685.10208135686,564571.1715127837,-1.9866960480522167,-12.036102046880348
36117,Wayne County,NY,"Rochester, NY",233629.57512627044,224806.4596599226,161418.81861787857,3.9247606495360854,44.73502973611399
48469,Victoria County,TX,"Victoria, TX",211245.83140393416,216027.45818993417,173768.8165094596,-2.213434730040631,21.56716932720457
33009,Grafton County,NH,"Lebanon, NH-VT",413783.1397320265,401472.37518964306,259724.28223573265,3.066403893061942,59.31630888345894
55089,Ozaukee County,WI,"Milwaukee-Waukesha, WI",477156.2439831107,455608.6992911748,361127.8236763613,4.729397117627254,32.129460179931414
37157,Rockingham County,NC,"Greensboro-High Point, NC",192377.20354935137,194672.0906383502,163095.18165045013,-1.1788475078649774,17.9539466479514
01115,Saint Clair County,AL,"Birmingham-Hoover, AL",268898.6936964125,266046.4643632607,221155.86555631345,1.072079397851855,21.587864296523552
51069,Frederick County,VA,"Winchester, VA-WV",423361.2055883467,419904.649626466,324927.81916066987,0.8231763961069616,30.293923949615298
48291,Liberty County,TX,"Houston-The Woodlands-Sugar Land, TX",235330.4032704144,231622.84791862915,199270.19729762743,1.6006863679906669,18.09613603128415
55027,Dodge County,WI,"Beaver Dam, WI",308253.9443282703,285297.146194519,213196.1689396912,8.046627328721723,44.58699978584934
16083,Twin Falls County,ID,"Twin Falls, ID",372978.0977344007,363151.8504757034,268394.7145810085,2.7058232653435654,38.96626031427539
26087,Lapeer County,MI,"Detroit-Warren-Dearborn, MI",281805.2559301209,268134.6893578861,208036.35034431252,5.098395364274677,35.45962302439762
12089,Nassau County,FL,"Jacksonville, FL",473683.9973523769,485630.1659218904,346171.5568337737,-2.4599313238368725,36.83504262594073
37023,Burke County,NC,"Hickory-Lenoir-Morganton, NC",247851.41533702725,246846.92388376725,179441.05608201158,0.4069288923904013,38.12413989792252
29043,Christian County,MO,"Springfield, MO",310489.03442061605,308538.50549097493,221903.14556129117,0.6321833077324479,39.92097031128243
41033,Josephine County,OR,"Grants Pass, OR",382134.1196743248,385568.9328147134,335247.05031000444,-0.8908428164359328,13.98582607094192
01051,Elmore County,AL,"Montgomery, AL",265652.3006018176,254680.18286412128,197239.70032755277,4.308194541995536,34.68500517930882
01043,Cullman County,AL,"Cullman, AL",248442.24807112847,238776.3104589687,190101.27096486592,4.048114150679427,30.68941980774289
13095,Dougherty County,GA,"Albany, GA",120262.9484102537,127251.87300130531,89168.54616713338,-5.492197816986099,34.871491775629515
48005,Angelina County,TX,"Lufkin, TX",194281.37858758983,193494.7130636473,161739.93988778687,0.4065565986207442,20.11960603075518
16005,Bannock County,ID,"Pocatello, ID",350613.5475990024,350156.6475720454,248524.13787646336,0.13048446463179708,41.07826732439397
41053,Polk County,OR,"Salem, OR",474919.92077323695,471219.7762713681,372690.26177150104,0.7852269128318712,27.430193242992118
39119,Muskingum County,OH,"Zanesville, OH",201879.33351923505,200743.96090877685,146022.85538365756,0.5655824490651273,38.25187364595857
42073,Lawrence County,PA,"New Castle, PA",152486.85840761146,151654.34078781956,120514.07824673408,0.5489573298509631,26.53032793016765
53029,Island County,WA,"Oak Harbor, WA",625214.5369300205,621783.1839056754,503340.1336280042,0.5518568390337375,24.21313047770759
