fips,walkability_score
17127,5.829
17129,5.384
17131,4.583
17133,6.578
17135,6.599
17137,6.536
17139,5.923
17141,5.866
17143,10.544
17145,5.565
17147,6.306
17149,5.604
17151,3.158
17153,5.912
17155,5.872
17157,5.966
17159,6.738
17161,7.472
17163,10.232
17165,6.903
17167,10.206
17169,5.185
17171,5.482
17173,5.493
17175,4.717
17177,6.459
17179,8.479
17181,5.372
17183,6.582
17185,6.457
17187,6.297
17189,5.177
17191,4.972
17193,6.292
17195,6.397
17197,8.794
17199,6.302
17201,7.035
17203,6.078
18001,5.349
18003,9.535
18005,6.584
18007,6.236
18009,6.9
18011,6.32
18013,4.495
18015,5.066
18017,6.257
18019,8.626
18021,6.006
18023,6.146
18025,5.393
18027,6.658
18029,5.509
18031,5.958
18033,5.815
18035,7.348
18037,6.473
18039,6.767
18041,5.901
18043,8.173
18045,5.951
18047,5.133
18049,5.999
18051,6.65
18053,7.123
18055,5.594
18057,8.131
18059,6.626
18061,4.605
18063,6.717
18065,6.168
18067,6.719
18069,6.723
18071,6.094
18073,5.728
18075,5.099
18077,5.985
18079,4.677
18081,7.2
18083,7.193
18085,6.107
18087,5.023
18089,8.012
18091,6.883
18093,5.85
18095,6.859
18097,10.75
18099,5.624
18101,5.649
18103,5.496
18105,10.595
18107,6.01
18109,5.838
18111,5.316
18113,5.525
18115,3.735
18117,5.159
18119,4.322
18121,4.842
18123,6.0
18125,5.518
18127,7.033
18129,5.502
18131,5.465
18133,5.327
18135,5.2
18137,5.814
18139,5.024
18141,7.438
18143,5.231
18145,5.962
18147,5.856
18149,4.908
18151,5.588
18153,5.612
18155,3.982
18157,10.685
18159,5.169
18161,5.587
18163,7.486
18165,5.84
18167,9.913
18169,6.366
18171,4.807
18173,6.408
18175,4.796
18177,6.872
18179,5.747
18181,5.543
18183,5.313
19001,6.114
19003,5.054
19005,5.703
19007,6.353
19009,4.989
19011,5.885
19013,7.783
19015,7.188
19017,6.791
19019,5.963
19021,7.01
19023,5.987
19025,6.574
19027,7.578
19029,6.636
19031,6.139
19033,10.311
19035,6.487
19037,5.649
19039,6.207
19041,6.719
19043,5.81
19045,9.223
19047,6.615
19049,8.377
19051,5.273
19053,5.423
19055,5.954
19057,11.624
19059,7.143
19061,7.319
19063,6.828
19065,5.98
19067,5.887
19069,6.017
19071,5.462
19073,6.272
19075,6.072
19077,5.946
19079,6.146
19081,5.428
19083,6.283
19085,5.639
19087,6.793
19089,6.42
19091,6.418
19093,6.111
19095,5.932
19097,6.485
19099,6.894
19101,7.227
19103,9.308
19105,6.346
19107,5.383
19109,6.613
19111,6.909
19113,10.645
19115,5.656
19117,5.015
19119,5.873
19121,6.445
19123,9.433
19125,6.493
19127,9.491
19129,5.522
19131,6.194
19133,5.585
19135,5.815
19137,7.261
19139,9.864
19141,7.088
19143,5.473
19145,6.663
19147,7.02
19149,5.952
19151,6.173
19153,11.221
19155,6.983
19157,5.904
19159,6.17
19161,6.018
19163,7.941
19165,5.971
